"Edu2.FM","Labo.FM","Life.Exp","Edu.Exp","GNI","Mat.Mor","Ado.Birth","Parli.F"
0.198,0.199,60.4,9.3,"1,885",400,86.8,27.6
0.931,0.685,77.8,11.8,"9,943",21,15.3,20.7
0.861,0.211,74.8,14,"13,054",89,10,25.7
0.729,0.308,70.6,12,"15,722",155,45.4,14
0.977,0.633,76.3,17.9,"22,050",69,54.4,36.8
0.989,0.747,74.7,12.3,"8,124",29,27.1,10.7
0.997,0.819,82.4,20.2,"42,261",6,12.1,30.5
1,0.806,81.4,15.7,"43,869",4,4.1,30.3
0.962,0.904,70.8,11.9,"16,428",26,40,15.6
1.041,0.874,75.4,12.6,"21,336",37,28.5,16.7
1.103,0.451,76.6,14.4,"38,599",22,13.8,15
0.826,0.683,71.6,10,"3,191",170,80.6,20
1.021,0.86,75.6,15.4,"12,488",52,48.4,19.6
0.944,0.794,71.3,15.7,"16,676",1,20.6,30.1
0.935,0.801,80.8,16.3,"41,187",6,6.7,42.4
1.008,0.598,70,13.6,"7,614",45,71.4,13.3
0.419,0.863,59.6,11.1,"1,767",340,90.2,8.4
0.986,0.864,69.5,12.6,"7,176",120,40.9,8.3
0.805,0.794,68.3,13.2,"5,760",200,71.9,51.8
0.643,0.595,76.5,13.6,"9,638",8,15.1,19.3
0.945,0.881,64.5,12.5,"16,646",170,44.2,9.5
1.042,0.735,74.5,15.2,"15,175",69,70.8,9.6
0.972,0.812,74.2,14.4,"15,596",5,35.9,20.4
0.281,0.857,58.7,7.8,"1,591",400,115.4,13.3
0.639,1.016,56.7,10.1,"758",740,30.3,34.9
0.432,0.911,68.4,10.9,"2,949",170,44.3,19
0.61,0.831,55.5,10.4,"2,803",590,115.8,27.1
1,0.868,82,15.9,"42,155",11,14.5,28.2
0.378,0.853,50.7,7.2,"581",880,98.3,12.5
0.172,0.808,51.6,7.4,"2,085",980,152,14.9
0.959,0.658,81.7,15.2,"21,290",22,55.3,15.8
0.816,0.816,75.8,13.1,"12,547",32,8.6,23.6
1.023,0.7,74,13.5,"12,040",83,68.5,20.9
0.845,0.938,62.3,11.1,"6,012",410,126.7,11.5
0.395,0.966,58.7,9.8,"680",730,135.3,8.2
1.004,0.59,79.4,13.9,"13,413",38,60.8,33.3
0.465,0.644,51.5,8.9,"3,171",720,130.3,9.2
0.908,0.765,77.3,14.8,"19,409",13,12.7,25.8
0.943,0.62,79.4,13.8,"7,301",80,43.1,48.9
0.93,0.788,80.2,14,"28,633",10,5.5,12.5
1.002,0.748,78.6,16.4,"26,660",5,4.9,18.9
